"ID","Concern","Method"
499,"Verification","Exploratory.Study"
499,"Verification","Formal.Validation"
500,"Var. Management","Exploratory.Study"
501,"Verification","Formal.Validation"
502,"Maintenance","Formal.Validation"
503,"Testing","Formal.Validation"
503,"Testing","Worked.Example"
505,"Testing","Exploratory.Study"
506,"Verification","Opinion"
508,"Testing","Exploratory.Study"
508,"Testing","Formal.Validation"
509,"Var. Management","Worked.Example"
510,"Var. Management","Exploratory.Study"
511,"Multi SPLs","Opinion"
517,"Maintenance","Opinion"
518,"Maintenance","Worked.Example"
520,"Testing","Opinion"
521,"Dynamic SPL","Formal.Validation"
523,"Verification","Formal.Validation"
524,"Var. Management","Formal.Validation"
524,"Var. Management","Worked.Example"
525,"Verification","Formal.Validation"
526,"Verification","Formal.Validation"
527,"Maintenance","Exploratory.Study"
528,"Verification","Formal.Validation"
529,"Testing","Exploratory.Study"
529,"Testing","Formal.Validation"
530,"Verification","Formal.Validation"
531,"Var. Management","Exploratory.Study"
532,"Dynamic SPL","Opinion"
532,"Dynamic SPL","Worked.Example"
533,"Verification","Formal.Validation"
534,"Verification","Formal.Validation"
535,"Var. Management","Worked.Example"
538,"Var. Management","Worked.Example"
540,"Var. Management","Opinion"
545,"Var. Management","Worked.Example"
546,"Var. Management","Worked.Example"
555,"Var. Management","Opinion"
1000,"Testing","Exploratory.Study"
1000,"Testing","Formal.Validation"
1001,"Var. Management","Worked.Example"
1002,"Testing","Exploratory.Study"
1003,"Var. Management","Exploratory.Study"
1004,"Verification","Worked.Example"
1005,"Var. Management","Opinion"
1005,"Var. Management","Worked.Example"
1006,"Maintenance","Formal.Validation"
1007,"Var. Management","Opinion"
1007,"Var. Management","Worked.Example"
1008,"Verification","Formal.Validation"
1009,"Verification","Formal.Validation"
1010,"Verification","Formal.Validation"
1011,"Testing","Exploratory.Study"
1012,"Testing","Worked.Example"
1013,"Verification","Formal.Validation"
2000,"Verification","Worked.Example"
2001,"Var. Management","Worked.Example"
2002,"Verification","Formal.Validation"
2002,"Verification","Worked.Example"
2003,"Testing","Exploratory.Study"
2004,"Var. Management","Exploratory.Study"
2005,"Var. Management","Opinion"
2005,"Var. Management","Worked.Example"
2006,"Var. Management","Exploratory.Study"
2006,"Var. Management","Worked.Example"
