"ID","Formal Validation","Case Study","Worked Example","Experiment","Opinion"
499,"Y","N","N","Y","N"
500,"N","Y","N","N","N"
501,"Y","N","N","N","N"
502,"Y","N","N","N","N"
503,"Y","N","Y","N","N"
505,"N","Y","N","N","N"
506,"N","N","N","N","Y"
508,"Y","Y","N","N","N"
509,"N","N","Y","N","N"
510,"N","Y","N","N","N"
511,"N","N","N","N","Y"
517,"N","N","N","N","Y"
518,"N","N","Y","N","N"
520,"N","N","N","N","Y"
521,"Y","N","N","N","N"
523,"Y","N","N","N","N"
524,"Y","N","Y","N","N"
525,"Y","N","N","N","N"
526,"Y","N","N","N","N"
527,"N","Y","N","N","N"
528,"Y","N","N","N","N"
529,"Y","Y","N","N","N"
530,"Y","N","N","N","N"
531,"N","Y","N","N","N"
532,"N","N","Y","N","Y"
533,"Y","N","N","N","N"
534,"Y","N","N","N","N"
535,"N","N","Y","N","N"
538,"N","N","Y","N","N"
540,"N","N","N","N","Y"
545,"N","N","Y","N","N"
546,"N","N","Y","N","N"
555,"N","N","N","N","Y"
1000,"Y","Y","N","N","N"
1001,"N","N","Y","N","N"
1002,"N","Y","N","N","N"
1003,"N","Y","N","N","N"
1004,"N","N","Y","N","N"
1005,"N","N","Y","N","Y"
1006,"Y","N","N","N","N"
1007,"N","N","Y","N","Y"
1008,"Y","N","N","N","N"
1009,"Y","N","N","N","N"
1010,"Y","N","N","N","N"
1011,"N","Y","N","N","N"
1012,"N","N","Y","N","N"
1013,"Y","N","N","N","N"
2000,"N","N","Y","N","N"
2001,"N","N","Y","N","N"
2002,"Y","N","Y","N","N"
2003,"N","N","N","Y","N"
2004,"N","N","N","Y","N"
2005,"N","N","Y","N","Y"
2006,"N","N","Y","Y","N"
