from, to, weight
2, 1, 2
3, 1, 2
3, 2, 2
4, 1, 2
4, 2, 2
4, 3, 2
6, 5, 1
7, 5, 1
7, 6, 1
8, 5, 2
8, 6, 1
8, 7, 2
9, 5, 3
9, 6, 2
9, 7, 1
9, 8, 2
10, 1, 3
10, 3, 1
10, 5, 3
10, 6, 2
10, 7, 2
10, 8, 3
10, 9, 13
11, 9, 5
11, 10, 1
12, 10, 2
13, 1, 1
13, 10, 4
14, 1, 2
14, 3, 1
14, 10, 6
14, 13, 3
15, 10, 1
15, 13, 1
15, 14, 1
16, 10, 1
16, 13, 1
16, 14, 1
16, 15, 1
17, 6, 1
17, 9, 1
17, 10, 3
17, 13, 1
17, 14, 1
17, 15, 1
17, 16, 1
19, 18, 1
20, 18, 1
20, 19, 1
21, 18, 1
21, 19, 1
21, 20, 1
22, 9, 1
22, 10, 1
23, 10, 1
23, 22, 1
24, 22, 1
24, 23, 1
25, 6, 1
25, 9, 1
25, 10, 1
25, 17, 1
26, 6, 1
26, 9, 4
26, 10, 4
26, 17, 1
26, 25, 1
27, 10, 1
27, 17, 1
29, 28, 1
30, 28, 1
30, 29, 1
31, 28, 1
31, 29, 1
31, 30, 1
32, 28, 1
32, 29, 1
32, 30, 1
32, 31, 1
33, 9, 2
34, 9, 2
34, 33, 2
35, 9, 1
35, 10, 1
36, 10, 1
38, 37, 1
39, 37, 1
39, 38, 1
40, 37, 1
40, 38, 1
40, 39, 1
41, 10, 1
41, 11, 2
41, 23, 1
42, 10, 4
43, 10, 3
43, 42, 3
44, 10, 4
44, 42, 4
44, 43, 3
45, 9, 1
45, 10, 1
45, 22, 1
46, 9, 1
46, 10, 1
46, 22, 1
46, 45, 1
47, 9, 1
47, 10, 1
47, 22, 1
47, 45, 1
47, 46, 1
48, 1, 1
48, 10, 1
48, 14, 1
49, 10, 1
49, 42, 1
49, 43, 1
49, 44, 1
51, 50, 1
52, 50, 1
52, 51, 1
53, 50, 1
53, 51, 1
53, 52, 1
54, 9, 1
54, 10, 1
54, 26, 1
55, 9, 1
55, 10, 1
55, 26, 1
55, 54, 1
57, 56, 2
58, 56, 2
58, 57, 2
59, 56, 2
59, 57, 2
59, 58, 2
60, 56, 1
60, 57, 1
60, 58, 1
60, 59, 1
61, 10, 1
61, 42, 1
61, 44, 1
62, 10, 1
62, 42, 1
62, 44, 1
62, 61, 1
63, 10, 1
63, 42, 1
63, 44, 1
63, 61, 1
63, 62, 1
64, 10, 1
64, 42, 1
64, 44, 1
64, 61, 1
64, 62, 1
64, 63, 1
66, 65, 2
67, 9, 1
67, 10, 2
67, 11, 1
67, 23, 1
67, 41, 1
68, 10, 1
68, 23, 1
68, 41, 1
68, 67, 1
69, 9, 1
69, 33, 1
69, 34, 1
70, 67, 1
71, 9, 1
71, 11, 1
71, 67, 1
71, 70, 1
72, 67, 1
72, 70, 1
72, 71, 1
73, 10, 2
73, 13, 2
73, 14, 2
74, 10, 1
74, 13, 1
74, 14, 1
74, 73, 1
76, 75, 1
77, 66, 1
78, 1, 1
78, 10, 1
78, 13, 1
79, 1, 1
79, 10, 1
79, 14, 1
80, 9, 1
80, 11, 1
80, 71, 1
81, 10, 1
81, 13, 1
81, 14, 1
81, 73, 1
82, 10, 1
82, 13, 1
82, 14, 1
82, 73, 1
82, 81, 1
84, 83, 1
85, 83, 1
85, 84, 1
86, 83, 1
86, 84, 1
86, 85, 1
88, 87, 1
89, 87, 1
89, 88, 1
