Id, Author, Papers
25, "Holthusen, S.", 1
21, "O'Neill, M.", 1
48, "Kamischke, J.", 1
40, "Stolz, V.", 1
57, "Kehrer, T.", 2
13, "Lachmann, R.", 4
88, "Walker, R.J.", 1
83, "Diniz, J.P.", 1
32, "Fialho. S.", 1
74, "Fürchtegott, F.", 1
55, "Tanzarella, N.", 1
0, "Authors", 1
2, "Mennicke, S.", 2
70, "Setyautami, M.R.A.", 1
15, "Lischke, S.", 1
68, "Proença, J.", 1
20, "O'Sullivan, C.", 1
34, "Tyszberowicz, S.", 2
3, "Baller, H.", 3
52, "Lian, C.", 1
69, "Faitelson, D.", 1
26, "Bettini, L.", 4
56, "Pietsch, C.", 2
59, "Reuling, D.", 2
79, "Goltz, U.", 1
66, "Khosravi, R.", 3
63, "Look, M.", 1
80, "Kamburjan, E.", 1
78, "Dukaczewski, M.", 1
73, "Al-Hajjaji, M.", 2
85, "Gaia, F.", 1
9, "Damiani, F.", 19
65, "Khedri, N.", 2
6, "Koscielny, J.", 2
47, "Yu, I.", 1
27, "Richers, O.", 1
37, "Bodden, E.", 1
4, "Ribbeck, L.", 2
58, "Kelter, U.", 2
5, "Winkelmann, T.", 3
81, "Thüm, T.", 1
23, "Schlatte, R.", 2
50, "Wu, J.", 1
38, "Falzon, K.", 1
17, "Schulze, S.", 3
8, "Schuster, S.", 3
86, "Figueiredo, E.", 1
75, "Behringer, B.", 1
67, "Muschevici, R.", 3
87, "Hamza, M.", 1
16, "Beddig, S.", 1
1, "Lochau, M.", 5
12, "Kowal, M.", 2
54, "Bono, V.", 1
71, "Hähnle, R.", 2
62, "Kolassa, C.", 1
10, "Schaefer, I.", 30
82, "Saake, G.", 1
89, "Elaasar, M.", 1
19, "Brabazon, A.", 1
84, "Vale, G.", 1
29, "Santos, J.", 1
60, "Ohrndorf, M.", 1
53, "Huang, Y.", 1
28, "Lima, G.", 1
64, "Müller, K.", 1
49, "Kutz, T.", 1
77, "Sabouri, H.", 1
42, "Haber, A.", 4
11, "Lienhardt, M.", 7
46, "Dovland, J.", 1
35, "Padovani, L.", 1
45, "Owe, O.", 1
72, "Azurat, A.", 1
61, "Hölldobler, K.", 1
44, "Rumpe, B.", 4
31, "Alencar, D.", 1
36, "Huahnle, R.", 1
33, "Gladisch, C.", 2
43, "Rendel, H.", 3
7, "Seidl, C.", 2
51, "Xu, X.", 1
76, "Fey, M.", 1
14, "Lity, S.", 6
41, "Clarke, D.", 3
18, "Yin, Z.", 1
24, "Tarifa, S.", 1
39, "Pun, K.", 1
22, "Johnsen, E.", 2
30, "Kulesza, U.", 1
