Authors	Title	Year	Cited by	Link	EID
"Lopes Cristina Videira, Kiczales Gregor"	Improving design and source code modularity using AspectJ	2000	2	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033698301&doi=10.1109%2fICSE.2000.870532&partnerID=40&md5=b9786430e6aec78766bf4a268e8b2e27	2-s2.0-0033698301
Kendall Elizabeth A.	"Role modeling for agent system analysis, design, and implementation"	2000	92	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033728569&doi=10.1109%2f4434.846192&partnerID=40&md5=e5c91209a08f73323c6a2a99a793c741	2-s2.0-0033728569
"Lippert Martin, Lopes Cristina Videira"	Study on exception detection and handling using aspect-oriented programming	2000	132	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033682245&partnerID=40&md5=b78f9de3e254ef642db810a46c92a3ea	2-s2.0-0033682245
"Blake Brian, Bose Prasanta"	Agent-based approach to alleviating packaging mismatch	2000	2	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033714701&partnerID=40&md5=08f12ae5827dcceaf995100618c6366d	2-s2.0-0033714701
"Netinant P., Constantinides C.A., Elrad T., Fayad M.E."	Aspect-oriented frameworks: The design of adaptable operating systems	2000	2	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885237551&doi=10.1145%2f367845.367937&partnerID=40&md5=a0a4fa6910187efa223805023f4f28fe	2-s2.0-84885237551
"Lee J.-S., Bae D.-H."	"An approach to specifying concurrent, distributed, and autonomous object behaviors using a high-level meta-object protocol"	2000	1	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034188041&partnerID=40&md5=395437ae971e2f19ea8d1bddc3273d58	2-s2.0-0034188041
"Rashid A., Sawyer P."	Object database evolution using separation of concerns	2000	4	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0007723529&partnerID=40&md5=96d63c2bb5397f1b3736efe2bd3da84e	2-s2.0-0007723529
"Constantinides C.A., Elrad T."	Towards a two-dimensional separation of concerns	2000		https://www.scopus.com/inward/record.uri?eid=2-s2.0-84885230542&doi=10.1145%2f367845.367938&partnerID=40&md5=03196805d2997eb5f59b272b43ebeae7	2-s2.0-84885230542
Fayad M.E.	Introduction to the computing surveys' electronic symposium on object-oriented application frameworks	2000	12	https://www.scopus.com/inward/record.uri?eid=2-s2.0-7444249268&partnerID=40&md5=2660efb489acc7f01772494792dee084	2-s2.0-7444249268
"Lopes C.V., Kiczales G."	Aspect-oriented programming	2000	1	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034586809&partnerID=40&md5=dd069998bac092567e4b7b808cb7cf72	2-s2.0-0034586809
"Viega J., Voas J."	Can Aspect-Oriented Programming head to More Reliable Software?	2000		https://www.scopus.com/inward/record.uri?eid=2-s2.0-85008054329&doi=10.1109%2f52.895163&partnerID=40&md5=f19ee73296af5d09b8f6b96782430012	2-s2.0-85008054329
"De Moor O., Peyton-Jones S., Van Wyk E."	Aspect-oriented compilers	2000	22	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959045325&doi=10.1007%2f3-540-40048-6_10&partnerID=40&md5=db95e5238a7a7371153523bc544b09d3	2-s2.0-84959045325
"Rashid A., Pulvermueller E."	From object-oriented to aspect-oriented databases	2000	12	https://www.scopus.com/inward/record.uri?eid=2-s2.0-35248870039&partnerID=40&md5=0fdd6bd5ad604051e58b8adb355d9311	2-s2.0-35248870039
"Pawlak Renaud, Duchien Laurence, Florin Gerard, Martelli Laurent, Seinturier Lionel"	Distributed separation of concerns with aspect components	2000	9	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033700334&partnerID=40&md5=add83b206b91adab0d2dc8f05ffd64d7	2-s2.0-0033700334
"Pulvermüller E., Speck A., Rashid A."	Implementing collaboration-based designs using aspect-oriented programming	2000	13	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0034586744&partnerID=40&md5=668cd5a72e91cc6218f63f6f444feef5	2-s2.0-0034586744
"Pulvermüller E., Klaeren H., Speck A."	Aspects in distributed environments	2000	3	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959040000&doi=10.1007%2f3-540-40048-6_4&partnerID=40&md5=aad39ae13982b31819132e887138c4cc	2-s2.0-84959040000
"Lieberherr K.J., Lorenz D.H., Mezini M."	Building modular object-oriented systems with reusable collaborations	2000	2	https://www.scopus.com/inward/record.uri?eid=2-s2.0-0033682456&doi=10.1109%2fICSE.2000.870528&partnerID=40&md5=b1774edb8118369caf2e069fba81a32e	2-s2.0-0033682456
