Id, Author, Papers
38, "Tarifa, S.L.T.", 1
4, "Al-Hajjaji, M.", 1
52, "Dovland, J.", 1
46, "Padovani, L.", 2
1, "Fey, M.", 1
33, "Holthusen, S.", 1
53, "Owe, O.", 1
13, "Damiani, F.", 18
10, "Azurat, A.", 1
55, "Kamischke, J.", 1
11, "Khedri, N.", 1
54, "Yu, I.C.", 1
12, "Khosravi, R.", 2
43, "Fialho, S.V.", 1
49, "Rendel, H.", 2
50, "Rumpe, B.", 2
42, "Alencar, D.", 1
58, "Klebanov, V.", 1
24, "Koscielny, J.", 2
9, "Muschevici, R.", 1
5, "Fürchtegott, F.", 1
45, "Richers, O.", 1
32, "Mousavi, M.R.", 1
2, "Lachmann, R.", 4
22, "Ribbeck, L.", 2
60, "Tanzarella, N.", 1
20, "Mennicke, S.", 2
40, "Santos, J.", 1
23, "Winkelmann, T.", 3
7, "Setyautami, M.R.A.", 1
25, "Seidl, C.", 1
27, "Lischke, S.", 1
36, "Johnsen, E.B.", 2
37, "Schlatte, R.", 1
29, "Schulze, S.", 3
18, "Tyszberowicz, S.", 2
59, "Bono, V.", 1
21, "Baller, H.", 3
57, "Bruns, D.", 1
6, "Schaefer, I.", 26
31, "Beohar, H.", 1
35, "Goltz, U.", 2
3, "Lity, S.", 6
39, "Lima, G.", 1
51, "Clarke, D.", 2
30, "Varshosaz, M.", 1
16, "Faitelson, D.", 1
47, "Sabouri, H.", 1
26, "Schuster, S.", 2
34, "Bettini, L.", 4
0, "Behringer, B.", 1
56, "Kutz, T.", 1
8, "Hähnle, R.", 2
17, "Gladisch, C.", 2
28, "Beddig, S.", 1
19, "Lochau, M.", 6
41, "Kulesza, U.", 1
15, "Kowal, M.", 1
48, "Haber, A.", 2
14, "Lienhardt, M.", 5
44, "Dukaczewski, M.", 1
