Id, Author, Papers
4, "Costa H.", 1
3, "Figueiredo E.", 2
28, "Chiba S.", 1
20, "Möller B.", 2
19, "Zelend A.", 2
9, "Sousa Ferreira G.C.", 1
14, "Oliveira B.C.D.S.", 1
52, "Brouër N.", 1
1, "Abilio R.", 1
27, "Takeyama F.", 1
50, "Ostermann K.", 1
34, "Liebig J.", 2
38, "Tan Q.", 1
8, "Saake G.", 2
42, "Tang L.", 1
45, "Jarzabek S.", 1
15, "Van Der Storm T.", 1
36, "Leich T.", 2
35, "Kstner C.", 1
37, "Jun Y.", 1
26, "Kumar C.", 1
41, "Guo S.", 1
51, "Prehofer C.", 2
0, "Authors", 1
7, "Fenske W.", 1
11, "De Almeida Maia M.", 1
17, "Cook W.R.", 1
39, "Li T.", 1
25, "Roy S.R.", 1
46, "Ebraert P.", 1
6, "Schröter R.", 2
12, "Kästner C.", 3
40, "Cao G.", 1
21, "Schuster S.", 1
31, "Günther S.", 2
18, "Thüm T.", 2
49, "Mezini M.", 1
29, "Schaefer I.", 1
43, "Xu W.", 1
24, "Banerjee M.", 1
48, "Batory D.", 3
10, "Gaia F.N.", 1
47, "Lengauer C.", 1
44, "Zhang H.", 1
32, "Sunkle S.", 2
23, "Höfner P.", 1
13, "Apel S.", 6
5, "Krieter S.", 1
33, "Kolesnikov S.", 1
16, "Loh A.", 1
22, "Schulze S.", 1
30, "Kuhlemann M.", 3
2, "Vale G.", 1
53, "Weck M.", 1
