Release,DeltaName,AddedClasses,ModifiedClasses,RemovedClasses,AddedMethods,ModifiedMethods,RemovedMethods,AddedImports,RemovedImports,AddedFields,ModifiedFields,RemovedFields
v0.1.0,dAddressBook,2,1,0,1,1,0,0,0,0,0,0
v0.1.0,dAddressBookConsole,1,0,0,0,0,0,0,0,0,0,0
v0.1.0,dAddressBookFacade,0,1,0,3,0,0,1,0,0,0,0
v0.1.0,dAddressBookLucene,1,2,0,0,0,0,2,0,0,0,0
v0.1.0,dAddressBookRelational,2,3,1,0,1,0,3,0,0,0,0
v0.1.0,dBase,5,0,0,0,0,0,0,0,0,0,0
v0.1.0,dBaseCommand,10,0,0,0,0,0,0,0,0,0,0
v0.1.0,dBaseException,3,0,0,0,0,0,0,0,0,0,0
v0.1.0,dBaseFacade,2,0,0,0,0,0,0,0,0,0,0
v0.1.0,dBaseMail,9,0,0,0,0,0,0,0,0,0,0
v0.1.0,dBaseModel,4,0,0,0,0,0,0,0,0,0,0
v0.1.0,dBasePersistence,2,0,0,0,0,0,0,0,0,0,0
v0.1.0,dConsole,16,0,0,0,0,0,0,0,0,0,0
v0.1.0,dGmailProvider,1,1,0,0,1,0,1,0,0,0,0
v0.1.0,dPersistenceLucene,5,2,0,0,0,0,4,0,0,0,0
v0.1.0,dPersistenceRelational,9,2,1,0,0,0,4,0,0,0,0
v0.1.0,dTagBase,3,1,0,1,0,0,0,0,0,0,0
v0.1.0,dTagConsole,1,0,0,0,0,0,0,0,0,0,0
v0.1.0,dTagLucene,2,3,1,4,3,0,6,0,1,0,0
v0.1.0,dTagRelational,2,4,1,3,2,0,7,0,1,0,0
v0.1.0,dTestAddressBookDAO,1,0,0,0,0,0,0,0,0,0,0
v0.1.0,dTestFolderDAO,1,0,0,0,0,0,0,0,0,0,0
v0.1.0,dTestRelationalTagDAO,1,0,0,0,0,0,0,0,0,0,0
v0.1.1,dAddressBook,2,1,0,1,1,0,1,0,0,0,0
v0.1.1,dAddressBookConsole,1,0,0,0,0,0,0,0,0,0,0
v0.1.1,dAddressBookFacade,0,1,0,3,0,0,1,0,0,0,0
v0.1.1,dAddressBookLucene,1,2,0,0,0,0,2,0,0,0,0
v0.1.1,dAddressBookRelational,2,3,1,0,1,0,3,0,0,0,0
v0.1.1,dAdvancedSearch,0,1,0,1,0,0,10,0,0,0,0
v0.1.1,dBase,5,0,0,0,0,0,0,0,0,0,0
v0.1.1,dBaseCommand,11,0,0,0,0,0,0,0,0,0,0
v0.1.1,dBaseException,3,0,0,0,0,0,0,0,0,0,0
v0.1.1,dBaseFacade,2,0,0,0,0,0,0,0,0,0,0
v0.1.1,dBaseMail,9,0,0,0,0,0,0,0,0,0,0
v0.1.1,dBaseModel,4,0,0,0,0,0,0,0,0,0,0
v0.1.1,dBasePersistence,2,0,0,0,0,0,0,0,0,0,0
v0.1.1,dConsole,16,0,0,0,0,0,0,0,0,0,0
v0.1.1,dGmailProvider,1,1,0,0,1,0,1,0,0,0,0
v0.1.1,dPersistenceLucene,5,2,0,0,0,0,4,0,0,0,0
v0.1.1,dPersistenceRelational,9,2,1,0,0,0,4,0,0,0,0
v0.1.1,dSearchConsole ,1,0,0,0,0,0,0,0,0,0,0
v0.1.1,dSearchFacade,0,1,0,1,0,0,0,0,0,0,0
v0.1.1,dSimpleSearch,0,1,0,2,0,0,2,0,0,0,0
v0.1.1,dTagBase,3,1,0,1,0,0,0,0,0,0,0
v0.1.1,dTagConsole,1,0,0,0,0,0,0,0,0,0,0
v0.1.1,dTagLucene,2,3,1,4,3,0,6,0,1,0,0
v0.1.1,dTagRelational,2,4,1,3,2,0,7,0,1,0,0
v0.1.1,dTestAddressBookDAO,1,0,0,0,0,0,0,0,0,0,0
v0.1.1,dTestFolderDAO,1,0,0,0,0,0,0,0,0,0,0
v0.1.1,dTestRelationalTagDAO,1,0,0,0,0,0,0,0,0,0,0
