Release,Technique,CommitHash,Added,Removed
base,aop,f3d5c523b39c8c43f627681f1efc3f68a9438fb8,4312,0
base,aop,9ca840ed7295e600e7b29a6275d075b90453a5fb,0,0
v0.1.0,aop,73dee6a6b02d57f2f103d4f6641fa85d3e4d6585,59,0
v0.1.0,aop,6a5925820abf423792085a06fa32bd2accfe5753,0,0
v0.1.0,aop,57763f235a09bac0d8628f34afa4aeba367cebdb,0,0
v0.1.0,aop,22e831d812184a5998b7fdaa86288fe9d82fda6a,96,28
v0.1.0,aop,b17dea07ca3d5d422200be63cf6e88b3ffc77786,0,0
v0.1.0,aop,cede91e3b35b180c5adbeea74e524c906712789c,0,0
v0.1.0,aop,590f09f75a5b6149ce798e5a8dfc7eee5a82c2ba,0,0
v0.1.0,aop,822479da6f5370af67e581d6542b69c9978d6296,0,0
v0.1.0,aop,beb1a86f11ea9a58bf074fa9cf695f54f2bb9f47,0,0
v0.1.0,aop,41c4ecc5662dcade5a66ec0fbfd124afcec29f1b,0,0
v0.1.0,aop,6b73d9d35f4dd5503a5c76986affdcdac9552764,193,0
v0.1.0,aop,744e640c351ba046c4a5b4869ceeaaefa9a64898,149,54
v0.1.0,aop,1e20a208e1b6a17ce93c034ebe7f084382d746c0,35,9
v0.1.0,aop,54c9425b67a0fa95ef82fea73b920cfde543ba5d,187,7
v0.1.0,aop,f7fd92aaa4b3e0613ca473046a02baace833ec0d,235,56
v0.1.0,aop,81ead0b292dbe5ef1e99b9da7db2330f4b74e07d,196,150
v0.1.0,aop,f51f5632de99f29480e7c8d3f565b8a025382fd0,420,6
v0.1.0,aop,f3ca3704cf35cd84826e1c4d94538ed6463c763c,173,26
v0.1.0,aop,df1b705226ec03864964f238de1123d5d110d845,25,15
v0.1.0,aop,e2e7b1d5629fdd1f70befa1dacb34db10b655cf5,13,9
v0.1.0,aop,20c16c2476e4005a31d1099ee34deb722c5c2ef9,197,40
v0.1.0,aop,db38d799cb677707c48419b02b89085e594b12d5,361,0
v0.1.0,aop,b707d5a0acc4a25fccd71f0d6fa43139fe0ab60f,86,30
v0.1.0,aop,728a2469ced17f7c394b7bcfada424fab4cdbf67,265,215
v0.1.0,aop,9cf59dc4f27dab37fc3f3d1c43a2c1e17d73ab9a,47,0
v0.1.0,aop,29df955f984bd716a9f4940f64387328d8780fb7,76,8
v0.1.0,aop,f83bb429af4762fa369695228863677a25adc0a8,62,46
v0.1.0,aop,d21caa689ac70f808ab14b4acd2540706e46ae00,163,51
v0.1.0,aop,2db625b40a786702571f11df8271ef31c91e464f,471,241
v0.1.0,aop,6dba2dae2e132f636c6791534ebd56953e874873,129,4
v0.1.0,aop,20cb9dea8fc011fc68e6088dcf9dd116709c690f,182,4
v0.1.0,aop,c662f811467dd1892069227931244b86f2a62137,15,0
v0.1.0,aop,238c1f791671fa51f16461de3bc27968caf0fe55,41,0
v0.1.0,aop,a6222d6a3ff4e1de2f26cbb128c8c1358099e1d7,99,52
v0.1.0,aop,46ddf9f9e2ef1089f90839940c49eae5ff6c5e35,76,56
v0.1.0,aop,d857adb04a12d63fb233ecc0e4d8898c241d8b55,73,13
v0.1.0,aop,c470f19314f696b985278380081350ef733560ff,6,10
