Release,Technique,ModuleName,Feature,LOC
v1,DOP,dController,reminder,60
v1,DOP,dController,manageReminder,58
v1,DOP,dCreateController,create,12
v1,DOP,dCreateController,reminder,10
v1,DOP,dCreateController,manageReminder,10
v1,DOP,dCreateFixedDateGUI,create,26
v1,DOP,dCreateFixedDateGUI,fixedDate,26
v1,DOP,dCreateGUI,create,244
v1,DOP,dCreateGUI,gui,27
v1,DOP,dCreateModel,create,15
v1,DOP,dCreateModel,reminder,13
v1,DOP,dCreateModel,manageReminder,13
v1,DOP,dDeleteController,delete,12
v1,DOP,dDeleteController,reminder,10
v1,DOP,dDeleteController,manageReminder,10
v1,DOP,dDeleteModel,delete,21
v1,DOP,dDeleteModel,reminder,19
v1,DOP,dDeleteModel,manageReminder,19
v1,DOP,dDoneGUI,done,24
v1,DOP,dDoneGUI,gui,22
v1,DOP,dDoneModel,done,31
v1,DOP,dDoneModel,reminder,29
v1,DOP,dDoneModel,manageReminder,29
v1,DOP,dEditController,edit,12
v1,DOP,dEditController,reminder,10
v1,DOP,dEditController,manageReminder,10
v1,DOP,dEditGUI,edit,33
v1,DOP,dEditModel,edit,19
v1,DOP,dEditModel,reminder,17
v1,DOP,dEditModel,manageReminder,17
v1,DOP,dFixedDateGUI,fixedDate,372
v1,DOP,dFixedDateGUI,create,43
v1,DOP,dFixedDateGUI,gui,268
v1,DOP,dFixedDateGUI,edit,11
v1,DOP,dFixedDateModel,fixedDate,68
v1,DOP,dFixedDateModel,reminder,66
v1,DOP,dFixedDateModel,manageReminder,66
v1,DOP,dFixedDateUtil,fixedDate,22
v1,DOP,dFixedDateUtil,reminder,5
v1,DOP,dFixedDateUtil,manageReminder,5
v1,DOP,dGUI,reminder,363
v1,DOP,dGUI,gui,361
v1,DOP,dModel,reminder,308
v1,DOP,dModel,manageReminder,306
v1,DOP,dPersistence,reminder,195
v1,DOP,dPersistence,manageReminder,193
v1,DOP,dReminder,reminder,47
v1,DOP,dReminder,manageReminder,45
v1,DOP,dUtil,reminder,85
v1,DOP,dUtil,manageReminder,83
v1,DOP,dViewController,view,48
v1,DOP,dViewController,reminder,46
v1,DOP,dViewController,manageReminder,46
v1,DOP,dViewFixedDateGUI,view,68
v1,DOP,dViewFixedDateGUI,fixedDate,68
v1,DOP,dViewFixedDateGUI,gui,66
v1,DOP,dViewGUI,view,20
v1,DOP,dViewGUI,gui,16
v1,DOP,dViewModel,view,21
v1,DOP,dViewModel,reminder,19
v1,DOP,dViewModel,manageReminder,19
v2,DOP,dController,reminder,57
v2,DOP,dController,manageReminder,55
v2,DOP,dCreateController,create,12
v2,DOP,dCreateController,reminder,10
v2,DOP,dCreateController,manageReminder,10
v2,DOP,dCreateFixedDateGUI,create,26
v2,DOP,dCreateFixedDateGUI,fixedDate,26
v2,DOP,dCreateGUI,create,252
v2,DOP,dCreateGUI,gui,27
v2,DOP,dCreateModel,create,15
v2,DOP,dCreateModel,reminder,13
v2,DOP,dCreateModel,manageReminder,13
v2,DOP,dDeleteController,delete,12
v2,DOP,dDeleteController,reminder,10
v2,DOP,dDeleteController,manageReminder,10
v2,DOP,dDeleteModel,delete,21
v2,DOP,dDeleteModel,reminder,19
v2,DOP,dDeleteModel,manageReminder,19
v2,DOP,dDoneGUI,done,24
v2,DOP,dDoneGUI,gui,22
v2,DOP,dDoneModel,done,31
v2,DOP,dDoneModel,reminder,29
v2,DOP,dDoneModel,manageReminder,29
v2,DOP,dEditController,edit,12
v2,DOP,dEditController,reminder,10
v2,DOP,dEditController,manageReminder,10
v2,DOP,dEditGUI,edit,36
v2,DOP,dEditModel,edit,19
v2,DOP,dEditModel,reminder,17
v2,DOP,dEditModel,manageReminder,17
v2,DOP,dFixedDateGUI,fixedDate,367
v2,DOP,dFixedDateGUI,create,43
v2,DOP,dFixedDateGUI,gui,263
v2,DOP,dFixedDateGUI,edit,11
v2,DOP,dFixedDateModel,fixedDate,69
v2,DOP,dFixedDateModel,reminder,67
v2,DOP,dFixedDateModel,manageReminder,67
v2,DOP,dFixedDateUtil,fixedDate,22
v2,DOP,dFixedDateUtil,reminder,5
v2,DOP,dFixedDateUtil,manageReminder,5
v2,DOP,dGUI,reminder,363
v2,DOP,dGUI,gui,361
v2,DOP,dManageCategoryController,manageCategory,65
v2,DOP,dManageCategoryController,reminder,39
v2,DOP,dManageCategoryController,manageReminder,39
v2,DOP,dManageCategoryGUI,manageCategory,359
v2,DOP,dManageCategoryGUI,create,74
v2,DOP,dManageCategoryGUI,staticCategory,42
v2,DOP,dManageCategoryGUI,gui,58
v2,DOP,dManageCategoryGUI,edit,18
v2,DOP,dManageCategoryModel,manageCategory,65
v2,DOP,dManageCategoryModel,staticCategory,51
v2,DOP,dManageCategoryModel,reminder,12
v2,DOP,dManageCategoryModel,manageReminder,12
v2,DOP,dModel,reminder,309
v2,DOP,dModel,manageReminder,307
v2,DOP,dPersistence,reminder,195
v2,DOP,dPersistence,manageReminder,193
v2,DOP,dReminder,reminder,47
v2,DOP,dReminder,manageReminder,45
v2,DOP,dStaticCategoryController,staticCategory,65
v2,DOP,dStaticCategoryController,reminder,39
v2,DOP,dStaticCategoryController,manageReminder,39
v2,DOP,dStaticCategoryGUI,staticCategory,438
v2,DOP,dStaticCategoryGUI,edit,49
v2,DOP,dStaticCategoryGUI,create,153
v2,DOP,dStaticCategoryGUI,gui,87
v2,DOP,dStaticCategoryModel,staticCategory,308
v2,DOP,dStaticCategoryModel,reminder,144
v2,DOP,dStaticCategoryModel,manageReminder,144
v2,DOP,dStaticCategoryPersistence,staticCategory,68
v2,DOP,dStaticCategoryPersistence,reminder,66
v2,DOP,dStaticCategoryPersistence,manageReminder,66
v2,DOP,dStaticCategoryReminder,staticCategory,14
v2,DOP,dStaticCategoryReminder,reminder,12
v2,DOP,dStaticCategoryReminder,manageReminder,12
v2,DOP,dUtil,reminder,85
v2,DOP,dUtil,manageReminder,83
v2,DOP,dViewController,view,48
v2,DOP,dViewController,reminder,46
v2,DOP,dViewController,manageReminder,46
v2,DOP,dViewFixedDateGUI,view,68
v2,DOP,dViewFixedDateGUI,fixedDate,68
v2,DOP,dViewFixedDateGUI,gui,66
v2,DOP,dViewGUI,view,20
v2,DOP,dViewGUI,gui,18
v2,DOP,dViewModel,view,21
v2,DOP,dViewModel,reminder,19
v2,DOP,dViewModel,manageReminder,19
v3,DOP,dController,reminder,57
v3,DOP,dController,manageReminder,55
v3,DOP,dCreateController,create,12
