Release,Technique,CommitHash,Added,Removed
v1,dop,49d14448335aae9000f45a18e6f5f80959189268,0,0
v1,dop,82ed3c4ef38cb45dc23c3cf50634455c2fd82395,887,0
v1,dop,d9b411f7b4dae10a5e2458ef9c8fe120ccfa32b0,462,0
v1,dop,ef16eb10b89e685f0ec8b6db3f0e3a970a6a7169,326,0
v1,dop,098ded75eb8970bef988d131ec848ca9738bcae6,71,0
v1,dop,316be7474d7723d61a326c66fa84a221a156574d,102,0
v1,dop,26f8f6207087b589129707a3b446d9d928afd401,34,0
v1,dop,966ebc0907600505adaebf7a55cab8b53a6e4472,65,0
v1,dop,08a2d26a072f361cf8d5c2ca0cf8f162a89af479,686,0
v1,dop,d2387dd979fcd6ce1fb4d6a1fa8b121fd674d219,0,0
v1,dop,821d70e9a6e8bbcbfe2d06c78acf3a19ce2a2185,0,0
v2,dop,a32f4da3341732439120370017d961bc05109a4c,7,12
v2,dop,719ec0eb220955a3439f04a67e333b1d8ca20f8a,0,0
v2,dop,2aa90e163de183cbcca9e700b4cb7fdb76e87f1a,1117,8
v2,dop,0826460afbfa773797d71a9411a7e519df85805d,0,0
v2,dop,73496470a70debe7afacc636d7fb34c1616e677e,0,0
v2,dop,d6b5ded0e4b6055c4f6946cccb34ac4bfc8db59e,0,0
v2,dop,16740f0cbdaaaec683c97bb5e42e0ee2cc788900,596,38
v2,dop,a27573595bb10e4f5820c4c9d3660ed0f6601c8f,0,0
v2,dop,fd846aa9389894801ebc1d9857840ee1f0bbb477,0,0
v2,dop,72f7ca9875b9e7ceb3ec15dc94958f3941794db0,0,0
v2,dop,28cdd117c5f5c22eacd67e83787265d8bc6612eb,0,0
v3,dop,d1c585dac50a12bb139ba61b9160ae2414bc7030,9,9
v3,dop,1270bce57443dac36540f93eac47de38e92663c6,15,6
v3,dop,da86adc3dd0f346b05b9ceac19781c5f9bddd380,0,1
v3,dop,e6e7909fb99563205fb069d06a30e43f87ae9ad5,505,1
v3,dop,ece3f1b2085c719dcfbd1e925843e7a07437bb8a,872,0
v3,dop,ab54ee0bf39f27cb1a0c980160e624f4eb74d7ee,125,135
