Release,Technique,ModuleName,DoT
v1,CC,AddReminderActivity,0.0
v1,CC,AllRemindersFilter,0.70538
v1,CC,Column,0.5625
v1,CC,Controller,0.75152
v1,CC,DateFormat,0.0
v1,CC,DatePickerDialogFragment,0.0
v1,CC,DBConstants,0.68457
v1,CC,DBException,0.5625
v1,CC,DBFactory,0.5625
v1,CC,DBHelper,0.5625
v1,CC,DBInvalidEntityException,0.5625
v1,CC,DBTypes,0.5625
v1,CC,DefaultDBFactory,0.5625
v1,CC,DefaultReminderDAO,0.7503
v1,CC,EditReminderActivity,0.26498
v1,CC,Entity,0.5625
v1,CC,ExternalAddReminderActivity,0.2144
v1,CC,FiltersListChangeListener,0.5625
v1,CC,ForeignKey,0.5625
v1,CC,GenericDAO,0.5625
v1,CC,InvalidDateException,0.5625
v1,CC,InvalidFormatException,0.5625
v1,CC,InvalidHourException,0.5625
v1,CC,InvalidTextException,0.5625
v1,CC,Mask,0.5625
v1,CC,Patterns,0.68878
v1,CC,Reminder,0.72834
v1,CC,ReminderActivity,0.72094
v1,CC,ReminderAddActivity,0.17187
v1,CC,ReminderArrayAdapter,0.74375
v1,CC,ReminderContentProvider,0.6177
v1,CC,ReminderDAO,0.71561
v1,CC,ReminderFilter,0.73828
v1,CC,ReminderFilterArrayAdapter,0.5625
v1,CC,ReminderListFragment,0.7765
v1,CC,ReminderMainActivity,0.5625
v1,CC,SpinnerAdapterGenerator,0.5625
v1,CC,TimePickerDialogFragment,0.5625
v1,CC,Utility,0.5625
v2,CC,AddCategoryDialogFragment,0.0
v2,CC,AddReminderActivity,0.70468
v2,CC,AllRemindersFilter,0.68971
v2,CC,Category,0.0
v2,CC,CategoryArrayAdapter,0.0
v2,CC,CategoryDAO,0.352
v2,CC,CategoryFilter,0.55
v2,CC,Column,0.55
v2,CC,Controller,0.81654
v2,CC,DateFormat,0.0
v2,CC,DatePickerDialogFragment,0.0
v2,CC,DBConstants,0.816
v2,CC,DBException,0.55
v2,CC,DBFactory,0.62296
v2,CC,DBHelper,0.63565
v2,CC,DBInvalidEntityException,0.55
v2,CC,DBTypes,0.55
v2,CC,DefaultCategoryDAO,0.38746
v2,CC,DefaultDBFactory,0.73283
v2,CC,DefaultReminderDAO,0.79882
v2,CC,EditCategoryDialogFragment,0.0
v2,CC,EditReminderActivity,0.71883
v2,CC,Entity,0.55
v2,CC,ExternalAddReminderActivity,0.68915
v2,CC,FilterListFragment,0.37874
v2,CC,FiltersListChangeListener,0.55
v2,CC,ForeignKey,0.55
v2,CC,GenericDAO,0.57499
v2,CC,InvalidDateException,0.55
v2,CC,InvalidFormatException,0.55
v2,CC,InvalidHourException,0.55
v2,CC,InvalidTextException,0.55
v2,CC,Mask,0.55
v2,CC,Patterns,0.67347
v2,CC,Reminder,0.75902
v2,CC,ReminderActivity,0.76894
v2,CC,ReminderAddActivity,0.59661
v2,CC,ReminderArrayAdapter,0.72723
v2,CC,ReminderContentProvider,0.73418
v2,CC,ReminderDAO,0.76696
v2,CC,ReminderFilter,0.72188
v2,CC,ReminderFilterArrayAdapter,0.74129
v2,CC,ReminderListFragment,0.72212
v2,CC,ReminderMainActivity,0.62675
v2,CC,SpinnerAdapterGenerator,0.55
v2,CC,TimePickerDialogFragment,0.55
v2,CC,Utility,0.55
v3,CC,AddCategoryDialogFragment,0.0
v3,CC,AddReminderActivity,0.68637
v3,CC,AllRemindersFilter,0.67179
v3,CC,CalendarEventCreator,0.24578
v3,CC,CalendarNotFoundException,0.0
v3,CC,Category,0.0
v3,CC,CategoryArrayAdapter,0.0
v3,CC,CategoryDAO,0.34286
v3,CC,CategoryFilter,0.53571
v3,CC,Column,0.53571
v3,CC,Controller,0.79533
v3,CC,DateFormat,0.53571
v3,CC,DatePickerDialogFragment,0.53571
v3,CC,DBConstants,0.7998
v3,CC,DBException,0.53571
v3,CC,DBFactory,0.60678
v3,CC,DBHelper,0.61914
v3,CC,DBInvalidEntityException,0.53571
v3,CC,DBTypes,0.53571
v3,CC,DefaultCategoryDAO,0.38333
v3,CC,DefaultDBFactory,0.71379
v3,CC,DefaultReminderDAO,0.78388
v3,CC,EditCategoryDialogFragment,0.0
